[0.006s][info][gc] Using Concurrent Mark Sweep
[0.007s][info][gc,heap,coops] Heap address: 0x0000000700000000, size: 4096 MB, Compressed Oops mode: Zero based, Oop shift amount: 3
[0.058s][info][safepoint    ] Entering safepoint region: EnableBiasedLocking
[3.626s][info ][gc           ] GC(1) Concurrent Preclean 1.440ms
[3.626s][info ][gc,cpu       ] GC(1) User=0.00s Sys=0.00s Real=0.00s
[3.626s][info ][gc           ] GC(1) Concurrent Abortable Preclean
[3.647s][info ][safepoint    ] Application time: 0.0212568 seconds
[3.647s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.647s][info ][safepoint    ] Leaving safepoint region
[3.647s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001253 seconds, Stopping threads took: 0.0000448 seconds
[3.657s][info ][safepoint    ] Application time: 0.0097174 seconds
[3.657s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.657s][info ][safepoint    ] Leaving safepoint region
[3.657s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000729 seconds, Stopping threads took: 0.0000081 seconds
[3.677s][info ][safepoint    ] Application time: 0.0199642 seconds
[3.677s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.677s][info ][safepoint    ] Leaving safepoint region
[3.677s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001026 seconds, Stopping threads took: 0.0000094 seconds
[3.713s][info ][safepoint    ] Application time: 0.0357235 seconds
[3.713s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.713s][info ][safepoint    ] Leaving safepoint region
[3.713s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000719 seconds, Stopping threads took: 0.0000079 seconds
[3.733s][info ][safepoint    ] Application time: 0.0196671 seconds
[3.733s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.733s][info ][safepoint    ] Leaving safepoint region
[3.733s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001494 seconds, Stopping threads took: 0.0000359 seconds
[3.733s][info ][safepoint    ] Application time: 0.0003939 seconds
[3.733s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.733s][info ][safepoint    ] Leaving safepoint region
[3.733s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001267 seconds, Stopping threads took: 0.0000685 seconds
[3.734s][info ][safepoint    ] Application time: 0.0001758 seconds
[3.734s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.734s][info ][safepoint    ] Leaving safepoint region
[3.734s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001302 seconds, Stopping threads took: 0.0000738 seconds
[3.734s][info ][safepoint    ] Application time: 0.0000752 seconds
[3.734s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.734s][info ][safepoint    ] Leaving safepoint region
[3.734s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000661 seconds, Stopping threads took: 0.0000053 seconds
[3.734s][info ][safepoint    ] Application time: 0.0003251 seconds
[3.734s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.734s][info ][safepoint    ] Leaving safepoint region
[3.734s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000778 seconds, Stopping threads took: 0.0000190 seconds
[3.735s][info ][safepoint    ] Application time: 0.0005147 seconds
[3.735s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.735s][info ][safepoint    ] Leaving safepoint region
[3.735s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001699 seconds, Stopping threads took: 0.0001142 seconds
[3.735s][info ][safepoint    ] Application time: 0.0001873 seconds
[3.735s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.735s][info ][safepoint    ] Leaving safepoint region
[3.735s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001350 seconds, Stopping threads took: 0.0000760 seconds
[3.736s][info ][safepoint    ] Application time: 0.0001940 seconds
[3.736s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.736s][info ][safepoint    ] Leaving safepoint region
[3.736s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001178 seconds, Stopping threads took: 0.0000645 seconds
[3.736s][info ][safepoint    ] Application time: 0.0001937 seconds
[3.736s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.736s][info ][safepoint    ] Leaving safepoint region
[3.736s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002035 seconds, Stopping threads took: 0.0001328 seconds
[3.736s][info ][safepoint    ] Application time: 0.0001419 seconds
[3.736s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.736s][info ][safepoint    ] Leaving safepoint region
[3.737s][info ][safepoint    ] Total time for which application threads were stopped: 0.0003030 seconds, Stopping threads took: 0.0002089 seconds
[3.737s][info ][safepoint    ] Application time: 0.0002940 seconds
[3.737s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.737s][info ][safepoint    ] Leaving safepoint region
[3.737s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002022 seconds, Stopping threads took: 0.0001038 seconds
[3.737s][info ][safepoint    ] Application time: 0.0002236 seconds
[3.737s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.738s][info ][safepoint    ] Leaving safepoint region
[3.738s][info ][safepoint    ] Total time for which application threads were stopped: 0.0003187 seconds, Stopping threads took: 0.0002533 seconds
[3.738s][info ][safepoint    ] Application time: 0.0005240 seconds
[3.738s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.738s][info ][safepoint    ] Leaving safepoint region
[3.738s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001527 seconds, Stopping threads took: 0.0000780 seconds
[3.739s][info ][safepoint    ] Application time: 0.0002992 seconds
[3.739s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.739s][info ][safepoint    ] Leaving safepoint region
[3.739s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001117 seconds, Stopping threads took: 0.0000084 seconds
[3.739s][info ][safepoint    ] Application time: 0.0003095 seconds
[3.739s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.739s][info ][safepoint    ] Leaving safepoint region
[3.739s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001774 seconds, Stopping threads took: 0.0000362 seconds
[3.740s][info ][safepoint    ] Application time: 0.0008557 seconds
[3.740s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.740s][info ][safepoint    ] Leaving safepoint region
[3.740s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001215 seconds, Stopping threads took: 0.0000623 seconds
[3.740s][info ][safepoint    ] Application time: 0.0002031 seconds
[3.740s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.741s][info ][safepoint    ] Leaving safepoint region
[3.741s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001347 seconds, Stopping threads took: 0.0000867 seconds
[3.741s][info ][safepoint    ] Application time: 0.0005984 seconds
[3.741s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.741s][info ][safepoint    ] Leaving safepoint region
[3.741s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001144 seconds, Stopping threads took: 0.0000637 seconds
[3.741s][info ][safepoint    ] Application time: 0.0000870 seconds
[3.741s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.741s][info ][safepoint    ] Leaving safepoint region
[3.741s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000406 seconds, Stopping threads took: 0.0000050 seconds
[3.742s][info ][safepoint    ] Application time: 0.0002616 seconds
[3.742s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.742s][info ][safepoint    ] Leaving safepoint region
[3.742s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001864 seconds, Stopping threads took: 0.0001466 seconds
[3.742s][info ][safepoint    ] Application time: 0.0000817 seconds
[3.742s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.742s][info ][safepoint    ] Leaving safepoint region
[3.742s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000942 seconds, Stopping threads took: 0.0000533 seconds
[3.743s][info ][safepoint    ] Application time: 0.0006216 seconds
[3.743s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.743s][info ][safepoint    ] Leaving safepoint region
[3.743s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002229 seconds, Stopping threads took: 0.0001007 seconds
[3.743s][info ][safepoint    ] Application time: 0.0003937 seconds
[3.743s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.743s][info ][safepoint    ] Leaving safepoint region
[3.743s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001120 seconds, Stopping threads took: 0.0000336 seconds
[3.744s][info ][safepoint    ] Application time: 0.0006875 seconds
[3.744s][info ][safepoint    ] Entering safepoint region: BulkRevokeBias
[3.745s][info ][safepoint    ] Leaving safepoint region
[3.745s][info ][safepoint    ] Total time for which application threads were stopped: 0.0004283 seconds, Stopping threads took: 0.0000505 seconds
[3.750s][info ][safepoint    ] Application time: 0.0052770 seconds
[3.750s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.750s][info ][safepoint    ] Leaving safepoint region
[3.750s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002748 seconds, Stopping threads took: 0.0000457 seconds
[3.752s][info ][safepoint    ] Application time: 0.0015485 seconds
[3.752s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.752s][info ][safepoint    ] Leaving safepoint region
[3.752s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001034 seconds, Stopping threads took: 0.0000326 seconds
[3.753s][info ][safepoint    ] Application time: 0.0010297 seconds
[3.753s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.753s][info ][safepoint    ] Leaving safepoint region
[3.753s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001896 seconds, Stopping threads took: 0.0001030 seconds
[3.756s][info ][safepoint    ] Application time: 0.0024867 seconds
[3.756s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.756s][info ][safepoint    ] Leaving safepoint region
[3.756s][info ][safepoint    ] Total time for which application threads were stopped: 0.0005783 seconds, Stopping threads took: 0.0004669 seconds
[3.758s][info ][safepoint    ] Application time: 0.0021729 seconds
[3.758s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.758s][info ][safepoint    ] Leaving safepoint region
[3.758s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000757 seconds, Stopping threads took: 0.0000318 seconds
[3.759s][info ][safepoint    ] Application time: 0.0002333 seconds
[3.759s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.759s][info ][safepoint    ] Leaving safepoint region
[3.759s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001079 seconds, Stopping threads took: 0.0000372 seconds
[3.759s][info ][safepoint    ] Application time: 0.0005065 seconds
[3.759s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.759s][info ][safepoint    ] Leaving safepoint region
[3.759s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001572 seconds, Stopping threads took: 0.0001136 seconds
[3.762s][info ][safepoint    ] Application time: 0.0026735 seconds
[3.762s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.762s][info ][safepoint    ] Leaving safepoint region
[3.762s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001416 seconds, Stopping threads took: 0.0000429 seconds
[3.763s][info ][safepoint    ] Application time: 0.0004856 seconds
[3.763s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.763s][info ][safepoint    ] Leaving safepoint region
[3.763s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000992 seconds, Stopping threads took: 0.0000428 seconds
[3.764s][info ][safepoint    ] Application time: 0.0006029 seconds
[3.764s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.764s][info ][safepoint    ] Leaving safepoint region
[3.764s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001214 seconds, Stopping threads took: 0.0000504 seconds
[3.764s][info ][safepoint    ] Application time: 0.0007020 seconds
[3.764s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.764s][info ][safepoint    ] Leaving safepoint region
[3.764s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000871 seconds, Stopping threads took: 0.0000233 seconds
[3.766s][info ][safepoint    ] Application time: 0.0013372 seconds
[3.766s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.766s][info ][safepoint    ] Leaving safepoint region
[3.766s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002697 seconds, Stopping threads took: 0.0002147 seconds
[3.768s][info ][safepoint    ] Application time: 0.0016114 seconds
[3.768s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.768s][info ][safepoint    ] Leaving safepoint region
[3.768s][info ][safepoint    ] Total time for which application threads were stopped: 0.0005442 seconds, Stopping threads took: 0.0004970 seconds
[3.771s][info ][safepoint    ] Application time: 0.0024953 seconds
[3.771s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.771s][info ][safepoint    ] Leaving safepoint region
[3.771s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000706 seconds, Stopping threads took: 0.0000074 seconds
[3.773s][info ][safepoint    ] Application time: 0.0017426 seconds
[3.773s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.773s][info ][safepoint    ] Leaving safepoint region
[3.773s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001092 seconds, Stopping threads took: 0.0000496 seconds
[3.774s][info ][safepoint    ] Application time: 0.0013655 seconds
[3.774s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.774s][info ][safepoint    ] Leaving safepoint region
[3.774s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001227 seconds, Stopping threads took: 0.0000661 seconds
[3.774s][info ][safepoint    ] Application time: 0.0001383 seconds
[3.774s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.775s][info ][safepoint    ] Leaving safepoint region
[3.775s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001104 seconds, Stopping threads took: 0.0000725 seconds
[3.775s][info ][safepoint    ] Application time: 0.0009583 seconds
[3.776s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.776s][info ][safepoint    ] Leaving safepoint region
[3.776s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001304 seconds, Stopping threads took: 0.0000574 seconds
[3.776s][info ][safepoint    ] Application time: 0.0007548 seconds
[3.776s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.776s][info ][safepoint    ] Leaving safepoint region
[3.776s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000970 seconds, Stopping threads took: 0.0000432 seconds
[3.780s][info ][safepoint    ] Application time: 0.0030908 seconds
[3.780s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.780s][info ][safepoint    ] Leaving safepoint region
[3.780s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000758 seconds, Stopping threads took: 0.0000083 seconds
[3.781s][info ][safepoint    ] Application time: 0.0015427 seconds
[3.781s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.782s][info ][safepoint    ] Leaving safepoint region
[3.782s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002613 seconds, Stopping threads took: 0.0001940 seconds
[3.782s][info ][safepoint    ] Application time: 0.0002920 seconds
[3.782s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.782s][info ][safepoint    ] Leaving safepoint region
[3.782s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000899 seconds, Stopping threads took: 0.0000249 seconds
[3.782s][info ][safepoint    ] Application time: 0.0005004 seconds
[3.782s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.783s][info ][safepoint    ] Leaving safepoint region
[3.783s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001249 seconds, Stopping threads took: 0.0000653 seconds
[3.784s][info ][safepoint    ] Application time: 0.0017262 seconds
[3.784s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.784s][info ][safepoint    ] Leaving safepoint region
[3.784s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000920 seconds, Stopping threads took: 0.0000073 seconds
[3.785s][info ][safepoint    ] Application time: 0.0001707 seconds
[3.785s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.785s][info ][safepoint    ] Leaving safepoint region
[3.785s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001038 seconds, Stopping threads took: 0.0000521 seconds
[3.786s][info ][safepoint    ] Application time: 0.0017047 seconds
[3.786s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.786s][info ][safepoint    ] Leaving safepoint region
[3.786s][info ][safepoint    ] Total time for which application threads were stopped: 0.0000916 seconds, Stopping threads took: 0.0000349 seconds
[3.787s][info ][safepoint    ] Application time: 0.0005201 seconds
[3.787s][info ][safepoint    ] Entering safepoint region: BulkRevokeBias
[3.787s][info ][safepoint    ] Leaving safepoint region
[3.787s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002235 seconds, Stopping threads took: 0.0000504 seconds
[3.797s][info ][safepoint    ] Application time: 0.0096563 seconds
[3.797s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.797s][info ][safepoint    ] Leaving safepoint region
[3.797s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001675 seconds, Stopping threads took: 0.0000578 seconds
[3.806s][info ][safepoint    ] Application time: 0.0084790 seconds
[3.806s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.806s][info ][safepoint    ] Leaving safepoint region
[3.806s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001405 seconds, Stopping threads took: 0.0000430 seconds
[3.818s][info ][safepoint    ] Application time: 0.0121380 seconds
[3.818s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.818s][info ][safepoint    ] Leaving safepoint region
[3.818s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001797 seconds, Stopping threads took: 0.0000700 seconds
[3.826s][info ][safepoint    ] Application time: 0.0075327 seconds
[3.826s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.826s][info ][safepoint    ] Leaving safepoint region
[3.826s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001571 seconds, Stopping threads took: 0.0000625 seconds
[3.841s][info ][safepoint    ] Application time: 0.0152399 seconds
[3.841s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.841s][info ][safepoint    ] Leaving safepoint region
[3.841s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001882 seconds, Stopping threads took: 0.0000690 seconds
[3.852s][info ][safepoint    ] Application time: 0.0103973 seconds
[3.852s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.852s][info ][safepoint    ] Leaving safepoint region
[3.852s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002267 seconds, Stopping threads took: 0.0000440 seconds
[3.855s][info ][safepoint    ] Application time: 0.0027803 seconds
[3.855s][info ][safepoint    ] Entering safepoint region: Deoptimize
[3.855s][info ][safepoint    ] Leaving safepoint region
[3.855s][info ][safepoint    ] Total time for which application threads were stopped: 0.0004327 seconds, Stopping threads took: 0.0000570 seconds
[3.862s][info ][safepoint    ] Application time: 0.0067883 seconds
[3.862s][info ][safepoint    ] Entering safepoint region: CollectForMetadataAllocation
[3.862s][info ][safepoint    ] Leaving safepoint region
[3.862s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001613 seconds, Stopping threads took: 0.0000864 seconds
[3.889s][info ][safepoint    ] Application time: 0.0270316 seconds
[3.889s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.889s][info ][safepoint    ] Leaving safepoint region
[3.890s][info ][safepoint    ] Total time for which application threads were stopped: 0.0002637 seconds, Stopping threads took: 0.0001097 seconds
[3.890s][info ][safepoint    ] Application time: 0.0005576 seconds
[3.890s][info ][safepoint    ] Entering safepoint region: RevokeBias
[3.890s][info ][safepoint    ] Leaving safepoint region
[3.890s][info ][safepoint    ] Total time for which application threads were stopped: 0.0001383 seconds, Stopping threads took: 0.0000291 seconds
[3.893s][info ][safepoint    ] Application time: 0.0030965 seconds
[3.893s][info ][safepoint    ] Entering safepoint region: Deoptimize
